REF,,SUBJECT ,RESPONSE SENT ,RESULT 
FOI 20/508,03/12/2020,"THE FULL APPLICATION MADE BY PFIZER OR ANY CONNECTED COMPANY OR ORGANISATION OF PFIZER

WITH REGARD TO THE COVID 19 VACCINE MANUFACTURED BY THEM AND PURCHASED BY THE BRITISH GOVERNMENT.

ALL AND ANY FULL COPIES OF THE SUBMITTED DATA AS TO TRIALS, SUBJECTS AND OUTCOMES OF THE TRIALS FOR THE VACCINE, IN REPORTS, GRAPHS ET AL.

CLAIMS AS TO SAFETY AND EFFICACY OF THIS VACCINE AND FULL AND FRANK APPLICATION MADE BY THE SAID COMPANY TO YOURSELVES COVERING ALL ASPECTS OF THE APPLICATION AND USES OF THIS VACCINE ON THE PUBLIC.

A FULL AND PRECISE REPORT OF EVERY INCLUSION, INGREDIENT ADDITIVE FOUND IN THIS VACCINE.

A FULL AND FRANK REPORT BY YOURSELVES OTHERWISE KNOWN AS MHRA OF ALL THOSE CONSIDERING SAID APPLICATION AND TAKING PART IN THE DECISION MAKING

THE NAMES AND POSITIONS OF ALL THOSE WHO CONSIDERED THE APPLICATION ITS FINDINGS AND OUTCOMES, 

ALL AND ANY INFORMATION REGARDING THE APPLYING COMPANY, YOURSELVES. DATA AND INFORMATION PERTAINING TO THE SAID APPLICATION.",31/12/2020,Disclosed in full
FOI 20/509,03/12/2020,"Whereas the Govt. has planned to coerce the public into accepting the novelty of an mRNA covid-19 vaccine without a recourse: The Declaration of Helsinki and the Nuremberg convention oblige you to provide the evidence of that your verification of the data from Pfizer, Moderna, AstraZeneca, Novalis; do confirm that their covid-19 vaccine:
1)	is causing an anamnestic response; 
2)	is a prophylactic treatment against Covid-19; 
3)	will protect against a SARS-CoV-2 infection; 
4)	will prevent serious Covid-19 and/or influenza complications; 
5)	will reduce, for those over the age 60 their covid19 CFR to less than 0.1% (Influenza A); 
6)	will reduce, for those under the age 60. their covid19 CFR to less than 0.01% (ses-flu); 
7)	does fulfil the criteria for to be a genuine vaccine; 
8)	its safety profile (its health benefits -vs- ADRs risks) has been calculated according to the standards for general medications and does fulfil clinical and regulatory milestones;
9)	its safety profile rate is such that with a scientific calculated probability said vaccine can be safely enforced as a mass inoculation and does justify its Harmless clausula.",16/12/2020,Disclosed in full
FOI 20/510,03/12/2020,"REQUESTED RECORDS
1.	Clinical overviews, non-clinical overviews and risk management plans for the Pfizer/BioNTech Covid-19 vaccine;

2.	List of meetings held between MHRA and Pfizer/BioNTech held within the past 12 months; and

3.	Data/clinical trial results relating to the Pfizer/BioNTech Covid-19 vaccine and correspondence relating to the decision to grant it a license.",24/12/2020,Disclosed in full
FOI 20/511,02/12/2020,"Galderma Calmurid Cream ingredients ""possibly carcinogenic to humans """,30/12/2020,Disclosed in full
FOI 20/512,03/12/2020,(FOIA)-Report of Good Manufeturing Practice (GMP) inspection report for Surepharm Service Ltd,30/12/2020,Other
FOI 20/513,02/12/2020,My i see the report containing the data you have based your approval on please? I need to personally assure myself that it is safe before i make a decision to have the vaccine.,22-12-20202,Disclosed in full
FOI 20/514,02/12/2020,1. Has the MHRA received funds from the Gates Foundation and the extent of the funds and what it was used for.  2. All information regarding the Pfizer/ biotech vaccine  3. All known studies of the Pfizer/ biotech vaccine that MHRA ,30/12/2020,Disclosed in full
FOI 20/515,04/12/2020,"May I therefore submit a Freedom of Information request now, (in case the aforementioned public document does not contain the relevant information), for documentation of the full Pfizer trial review by the MHRA and subsequent recommendation?",21/12/2020,Not released
FOI 20/516,02/12/2020,"What does the vaccination approval certificate allow..? For emergency or annual repeat use?
Without a longitudinal study, how can they ensure the safety of the vaccine in the 'long term'? 
For 'how long' will the immunity post vaccination last? 
Will an annual vaccination, like flu, be required?",22/12/2020,Disclosed in full
FOI 20/517,05/12/2020,"I am curious as to the status of Monoclonal antibody medicines for the treatment of cluster headache (Horton's disease).  I am aware that the EMA has not licenced Emgality for treatment of CH but do not know if the MRHA has assessed the efficacy and potential for any of the Monoclonal antibodies (Emgality, Ajovy and Almovig).",16/12/2020,Disclosed in full
FOI 20/518,07/12/2020,Names of all suppliers since March this year whose PPE the MHRA has deemed unfit for the purpose intended   Copies of all reports relating to PPE products the MHRA has deemed unfit for the purpose intended.,22/12/2020,Other
FOI 20/519,02/12/2020,"I'm unable to find any detailed publication of results for the recent covid vaccine trials which MHRA has just approved for use with the public.
I should be most grateful if you could pass on this information to me",22/12/2020,Disclosed in full
FOI 20/520,04/12/2020,"1. Please disclose any recorded information proving that a SARS-CoV-2 virus exists in Nature.

2. Please disclose any recorded information proving that a COVID-19 disease exists in Nature and is proven to be caused by a SARS-CoV-2 virus.

3. Please disclose any recorded information that the Pfizer vaccine said to mitigate symptoms of a COVID-19 disease is proven safe and effective against a SARS-CoV-2 virus, or in simple terms, is proven to provide immunity against a purported SARS-CoV-2 viral infection.

4. Please disclose any recorded information demonstrating the evidence that a SARS-CoV-2 virus is capable of transmission causing COVID-19. Note: this requires evidence that an identifiable SARS-CoV-2 virus [nucleic acid particle] travelling through the air from a subject in aerosol or some other form and is caught or received by another subject who then goes on to suffer with COVID-19, the purported disease resultant or caused by a SARS-CoV-2 virus.

5. Please disclose any recorded information demonstrating the evidence that a SARS-CoV-2 virus is capable of spread, by being exhaled in sputum or other bodily fluid from a subject onto and retained on a surface [and the time period established for SARS-CoV-2 to remain as a living organism] so as to be collected or picked up by a second subject at any point within the recognised and proven timeframe.

6. Please disclose any recorded information proving that face coverings mitigate the transmission and spread of a SARS-CoV-2 virus.

7. Please disclose the proof that a RT-PCR, Rapid antigen test or any other test is capable of identifying a SARS-CoV-2 virus.",22/12/2020,Disclosed in full
FOI 20/521,02/12/2020,Request for data - COVID,04/01/2021,Disclosed in full
FOI 20/522,07/12/2020,"1. A list of the Pfizer/BioNTech Covid-19 vaccine  ingredients.

2. A copy of the peer-reviewed (if applicable) or other study and trials data.

3. A demographic and health profile of test subjects (if not included in the study data).

4. The name of the journal or publication in which the study/trials data is published.

5. A copy of any emails, notes, and minutes from meetings about the vaccine, and/or its safety, and/or concerns about risks. ",30/12/2020,Disclosed in full
FOI 20/523,04/12/2020,"What synthetic 3'-deoxyribose nucleic acid (RNA) sequence or sequences (e.g. N Gene; Genbank accession: MN908947.2) are supplied as reference standards for the real time reverse transcriptase chain reaction (rRT-PCR) test or tests used for detecting the putative virus SARS-Cov-2 that are either in production or being validated by the National Institute of Biological Standards and Controls (NIBSC)?

Specifically this request relates to the sequences of:

1. The Research reagent for SARS-CoV-2 RNA NIBSC code: 20/110 2. The 1st WHO International Standard for SARS-CoV-2 RNA",24/12/2020,Not held
FOI 20/524,07/12/2020,"1. What instructions were trial volunteers given with respect to challenging themselves to contract the virus. Were precautions like social distancing or mask wearing advised during the trial. Did this differ in different locations? If so how did this impact results.

2. Was the split between vaccine and placebo evenly distributed across sex, age groups and trial locations.

3. What was the prevalence of the virus in each trial location during the trial. 

4. What was the distribution of positive cases across trial locations, ages, sex, . 

5. How and by whom were positive covid cases determined? What symptoms were recorded for the confirmed covid cases.

6. A number of side effects of the vaccine were identical to indicative symptoms of covid e.g. fatigue, headache, chills. How were these differentiated? 

7. What steps were taken to eliminate the risk of PCR test false positive results.

8. Did any of the positive cases require medical treatment if so what. Were there any severe cases that required any hospitalisation or ICU. What was split between vaccinated and placebo.

9. Were any cases identified before the time when a valid positive trial case could be recorded (7 days after second dose)

10. What were the exact numbers of adverse reactions recorded split by sex, age and ethnicity.  Of these how many required medical intervention and if so what did this consist of. Were any admitted to hospital. ICU?

11. S6.6 of Pfizer trial protocol allows for dose modification. How often did this occur and was it for any of the positive cases

12. S6.6 of the trial protocol outlines the possibility that due to medication error a participant may have been given vaccine in first dose and by mistake the placebo in second dose. These trialists would then be offered a second dose of the vaccine at another time. Did this happen? Did it impact any positive cases? 

13. S7.1 of the trial protocol outlines situations where participants discontinued the trial or declined the second dose. How many times did this happen? ",16/12/2020,Disclosed in full
FOI 20/525,07/12/2020,"Can you provide to me the clinical datas (preliminary clinical study report and PSUR / DSUR if it exists) submitted by Pfizer for it's
COVID-19 mRNA vaccine BNT162b2 ?",18/12/2020,Disclosed in full
FOI 20/526,07/12/2020,Please supply all the phase III clinical trial data submitted for approving the Pfizer-Biontech cov-19 vaccine.,16/12/2020,Disclosed in full
FOI 20/527,02/12/2020,concern about Covid-19 Oxford-AstraZeneca vaccine trials (CSC 22904),31/12/2020,Disclosed in full
FOI 20/528,03/12/2020,"Pardon my ignorance but I have been unable to find the full data in a peer reviewed journal. If I am incorrect please could you advise me of where this is published? If not, would you be kind enough to forward the data in full for me to review?",18/12/2020,Disclosed in full
FOI 20/529,03/12/2020,COVID-19 vaccine: BTN162b2 RMP pharmacovigilance plan,31/12/2020,Disclosed in full
FOI 20/530,02/12/2020,Please could you tell me Has this vaccine been through testing on people with underlying health issues or has the trails been Purely on healthy people?,07/01/2021,Disclosed in part
FOI 20/531,03/12/2020,"> * I would like a copy of the results data on the trials that were carried out. 

> * I would like to see the peer reviewed study. ",21/12/2020,Disclosed in full
FOI 20/532,07/12/2020,"1) I would like to know what the indemnity/ liability clauses are with the vaccine that is to be rolled out this month. Furthermore I would also like to know who is liable for any adverse side effects that occur. 

2) I would also like to know why Pfizer and the NHS staff administering the doses required full indemnity?

3) What trials/ stages of vaccine development have either not been completed in full (as they would with other vaccines), or have had a much less stringent testing process?

4) Can I have a full list of vaccine ingredients, including their uses and side effects. (I would also like to know how each chemical interacts with eachother as they could be harmless on their own but react badly when they interact with eachother).",06/01/2021,Disclosed in part
FOI 20/533,07/12/2020,"1.	Planned date for the completion of animal reproductive toxicity studies
2.	M H R A ' s current assessment of risk to newborns / infants 
3.	An explanation why temporary authorisation has been granted by M H R A for roll-out of vaccine to the human population if the impact on fertility is unknown and the outcome of animal reproductive toxicity studies is awaited.",06/01/2020,Disclosed in full
FOI 20/534,05/12/2020,You have received substantial amounts of money from the Bill and Melinda gates Foundation. Please provide all emails regarding this from and to the organisation.,04/01/2021,Disclosed in part
FOI 20/535,06/12/2020,"Is it correct that the MHRA received £980,000 (or, possibly, $980,000) from the Bill and Melinda Gates Foundation? In case that is too precise, has the MHRA received any money whatsoever from the Bill and Melinda Gates Foundation (or their affiliates) in the last five years?",24/12/2020,Disclosed in full
FOI 20/536,07/12/2020,"Under the FOI Act, please tell me if it is true that the MHRA has accepted a Gates foundation donation of circa £980k for ‘cooperation’.  And, if so, why was that and what have you used it for?",24/12/2020,Disclosed in full
FOI 20/537,20/11/2020,Why is melatonin not available over the counter in pharmacies? Why prescription only?,16/12/2020,Disclosed in full
FOI 20/538,08/12/2020,Under FOI How many patients were prescribed the drug Elmiron in the UK between 01.01.2018 and 01.12.2020? How many cases of Elmiron related eyesight defects were recorded in the same period?,07/01/2021,Disclosed in full
FOI 20/539,07/12/2020,"Please provide relevant documentation including, but not limited to, SPCs, patient information leaflets, medical practicioner guidance, and authorization documents in relation to any and all vaccine products approved by MHRA and other government agencies for the prophylaxis / prevention / elimination / inoculation of the Covid-19 virus.",15/12/2020,Disclosed in full
FOI 20/540,08/12/2020,"1. How long does the vaccine confer immunity to sars-cov-2 infection? Provide  published evidence.

2. Does the vaccine prevent transmission of Sars-cov-2 virus.  Provide published evidence.

3. What are the  most likely adverse reactions and long term unintended effects of the vaccine? Provide published evidence.

4. Does the vaccine improve health economic outcomes?   For example reduce hospital admissions. If so, please provide published evidence.",22/12/2020,Disclosed in full
FOI 20/541,02/12/2020,Please could you send me the Risk Management Plan for the Pfizer Covid-19 vaccination with appendices. I would like to assess the risk myself before considering vaccination.,31/12/2020,Disclosed in full
FOI 20/542,07/12/2020,"We would like to make a Freedom of Information request for any guidance, policies, correspondence or other materials relating to action (intended, planned, cancelled or otherwise) against any companies breaching regulations relating to anti-viral claims for hand sanitisers from 1 January 2020 to the present day.
We wish to establish the extent to which MHRA has considered or undertaken any action against any organisation making claims about hand sanitiser products in relation to protection against SARS-CoV-2 (which causes COVID-19). ",06/01/2021,Disclosed in full
FOI 20/543,09/12/2020,"request the GCP Inspection Reports with RSI scope in years 2018, 2019 and 2020. If narrowing the scope to RSI is not possible please provide us with a list of GCP inspections in same time frame and we will select reports more relevant to us for benchmarking and training purposes. ",30/12/2020,Not released
FOI 20/544,07/12/2020,"I’m looking for some information on a preclinical trial that started on Oct 26, 2020 for a unspecified route for the Pulmatrix Pipeline in lung cancer. I’m assuming this is for Pur1800 oka RV1162 and the sponsor is JNJ or Janseen .  Could you verify this is accurate please?",18/12/2020,Not held
FOI 20/545,09/12/2020,"Please provide all correspondence and reports this year between the MHRA and the Department of Health in relation to the supply of the surgical gowns by PPE Medpro.

Please also provide any declarations of conformity or certificates of conformity supplied by PPE Medpro in support of these products.",22/12/2020,Not released
FOI 20/546,08/12/2020,"1.  Please tell me costs for covid vaccine authorization in U.k. costs
- this includes emergency authorization and registration?

2.  Please tell me the Mhra rules for foreign embassies and high commissions in London when it comes to them importing specifically from their home countries their government's recommended and licensed covid vaccines into the U.k. for use on their embassy and high commission staff and also for their citizens and non-residents who are residing in the U.k.?  Is it allowed? Do these diplomatic venues - embassies and high commissions, require Mhra to authorize the vaccines before they are used only in these venues (embassies and high
commissions) - in other words they are not going to be  injecting the covid vaccines outside their venues (embassies and high commissions) nor injecting the ordinary population?",07/02/2020,Disclosed in full
FOI 20/547,08/12/2020,"I am contacting you to ask when that will be published as I am diagnosed as having ME/CFS/FIBROMYALGIA and would like to know if any fellow sufferers were involved in the phase 3 trials, and if so was there any exacerbation of their symptoms following its administration?",29/12/2020,Disclosed in full
FOI 20/548 - No longer FOI,,,,
FOI 20/549,18/11/2020,"Coproxamol - Thanks again for your prompt response, I would like all the redacted details displayed on your chart included as this would enable me to see which company is overcharging the NHS.  Re: The latest available data from open prescribing reveals: - Co-proxamol Top saving opportunities for NHS England in August 2020",16/12/2020,Disclosed in full
FOI 20/550,02/12/2020,Core RMP for Covid-19 vaccines,31/12/2020,Disclosed in full
FOI 20/551,08/12/2020,"What was the health status and demographics of the study population? Was this group representative of the population this vaccine is intended for? What were the results?  Are they significant?  What are the limitations of the study and how does this subtract from the relevance of the outcome?  Please will you answer those questions individually if this information is not available in the directly above question requesting information release?

Has there been independent reviews of this work prior to vaccine approval for use? 

Was the PCR test used to determine a Covid-19 infection?

Is there a list of any safety concerns or contra indications for those who take this vaccine?

What, if any, are its interactions with other medicinal products? 

If side effects cannot yet be established prior to use, how will informed consent of the vaccine recipient be established by the administrator of the injection?

If no longitudinal studies are available and this is experimental as a treatment, why is it not classified as a clinical trial as opposed to being called a vaccine?

Who will hold accountability and who has compensatory responsibility for any morbidity and mortality as a result of receiving this vaccine?

What is its efficacy against disease?  Will it prevent a Covid-19 infection?  Will it reduce severity of infection?  Will it prevent symptoms in an infected individual?  Does it prevent transmission of the disease?

Does the vaccine contain the Syncytin-1 protein and if so, when an immunological response to this protein is triggered by the vaccine will this cause male and/or female infertility?",07/01/2021,Disclosed in full
FOI 20/552,10/12/2020,"On FLU Vaccines

- Which flu vaccination(s) is being administered in the UK since the beginning of 2020.  The date(s) on which they started administering the vaccine(s) and (if applicable) ended giving these vaccine(s) or if it is ongoing.  

- The name of the company that makes the vaccination(s), the name(s) of the vaccination(s) (pharmaceutical and any other names given to the vaccine(s).  
- Is the vaccine(s) licensed?
- government legislated for giving unlicensed flu vaccinations in October (The Human Medicines (Coronavirus and Influenza) (Amendment) Regulations 2020
On COVID Vaccines

- All vaccines being discussed contain the nanoparticle adjuvant MATRIX-M which is supposed to illicit an immune response.  As someone with auto-immune disease (T1 diabetic for 32 years) and thyroid disease I would like to know what studies have been done on this adjuvant and has it been successfully licensed in any other medication?",24/12/2020,Disclosed in full
FOI 20/554,10/12/2020,"Please could you let me know whether any safety studies have been carried out on the UK flu vaccine and its interaction with prescription medication such as 
anti-depressants.",31/12/2020,Disclosed in full
FOI 20/555,14/12/2020,"Thank you for your response, ideally could we have the amounts imported/number of packs rather than just the items. ",11/01/2021,Disclosed in full
FOI 20/556,09/12/2020,Request relevant licences are those numbered 17490 and 18511 for Myriad Medical Supplies Limited and G P Supplies Limited respectively.,06/01/2021,Disclosed in full
FOI 20/557,08/12/2020,"5.	Is MHRA considering/assessing/in discussion with companies about any more TA for Covid-19 Products?",24/12/2020,Disclosed in full
FOI 20/558,14/12/2020," 
A full list of all of the tests that can be conducted on human blood, fluids or body tissues to determine the identity of an individual virus, which is causing or has caused adverse symptoms in that persons.",14/01/2021,Not held
FOI 20/559,04/12/2020,Can you please confirm that the vaccine has an active component and is not just water. And how you have confirmed this and what method has been used.   Can you explain how the vaccine with be administered in a sterile manner. Can you please explain why you have given approval to an experimental vaccine and there reasoning why you have granted approval.  Also why no one is liable if anything happens.,15/01/2020,Disclosed in full
FOI 20/560,15/12/2020,I have just called your customer service department to ask about funding from the BIll and Melinda Gates Foundation. How much was received? When was received and for what purpose?,12/01/2021,Disclosed in full
FOI 20/561 - No longer FOI,,,,
FOI 20/562,07/12/2020,"It is my understanding Cytodyne will be submitting its Biologics License Application (BLA) for Leronlimab as a combination therapy for multi-drug resistance HIV patients in the UK in the coming weeks.
I humbly beg, in the interests of the whole world, that you give CYTODYN’s Leronlimab drug EUA approval immediately",24/12/2020,Not released
FOI 20/563,21/12/2020,"1.	All of the trials exclude the obese (above 30 BMI). These are one of the groups affected to a larger extent by the virus which is important in that 28.7% of people in the UK are obese. What is the effectiveness of the vaccine amongst those who are obese?
2.	Only 10% of people in the trial had a comorbid condition. Yet COVID does tend to occur with those who have a comorbidity (81% of people who died had another condition (https://www.maciverinstitute.com/2020/07/81-of-people-who-died-of-covid-19-had-comorbidities-or-another-underlying-health-condition/). What is the effectiveness of the vaccine amongst those who are primarily affected by the virus namely those who have a comorbid condition?
3.	The LD/SD trial consisted of a lower proportion of ethnic minorities than is the case amongst the population (the proportion of people who are from ethnic minorities in the UK is 12.9% whereas the proportion of people from ethnic minorities in trial is 8%) and completely excludes those over 55 (along with the obese). What is the effectiveness of the vaccine amongst ethnic minorities?
4.	The SD/SD trials both use an unrepresentative age range. The proportion of people over the age of 55 in Brazil is 19% of the population yet only 9.5% of people in the trial are over 55.The proportion of people over the age of 55 in the UK is 30% of the population yet only 21% of people in the trial are over 55. What is the actual effectiveness of the vaccine amongst in a group who is primarily affected, namely those over 55?
5.	The gender in this instance is important in that, there are far more women in the trial than men. Men are more greatly affected by COVID. What is the effectiveness of the vaccine amongst men?
6.	The above data only pertains to symptomatic infections. For asymptomatic infections however, the results show that the effectiveness is worse in that, according to the lancet, vaccine efficacy of 4% for those given two full doses, and of 59% in those given a half then a full dose according to findings which need to be confirmed (https://www.maciverinstitute.com/2020/07/81-of-people-who-died-of-covid-19-had-comorbidities-or-another-underlying-health-condition/). If one can believe reports in the media, 80% of those affected are asymptomatic carriers (https://www.aa.com.tr/en/europe/over-85-of-virus-patients-in-uk-asymptomatic-study/2000300) What is the effectiveness with respect to asymptomatic infections?",05/01/2021,Disclosed in full
FOI 20/564,21/12/2020,"A complete list of all available peer reviewed evidence and complete evaluations of testing protocols for all and any Lateral Flow Devices, including the Innova SARS-CoV-2 Antigen Rapid Qualitative Test, currently being used to determine the infection rate of SARS – CoV-2 with or without symptoms, in the British public, which conclusively demonstrate the sensitivity, specificity and robust ability of the Testing regime and the results obtained.",11/01/2021,Not held
FOI 20/565,10/12/2020,"Does the MHRA not believe that during a pandemic you should use what works until something better comes along?  When is the MHRA going to recommend Ivermectin treatment for COVID-19?

It is now common knowledge that the Pfizer/NBioTech vaccine that has been rushed through your approval process cannot prevent anyone vaccinated from becoming infected or from becoming infectious. In fact, it is proving to be dangerous to the health of many people.   

Ivermectin is proven to be an effective and inexpensive  preventative treatment; a treatment for early, post exposure and severe case treatment for Covid-19. Have people not died and are people not dying because of MHRA's lack of action?",29/12/2020,Disclosed in full
FOI 20/566,18/12/2020,"In relation to the clinical trials supporting the temporary authorisation of Vaccine BNT162b2 (medicinal product “COVID-19 mRNA Vaccine BNT162b2 concentrate for solution for injection”) granted to Pfizer/BioNTech, please provide me with the individual cycle threshold values used during the Reverse Transcription-Polymerase Chain Reaction (RT-PCR) test for each of the 8 confirmed COVID-19 cases in the COVID-19 mRNA Vaccine group and 162 confirmed COVID-19 cases in the placebo group, as referred to in Section 5.1 Pharmacodynamic properties of the REG 174 INFORMATION FOR UK HEALTHCARE PROFESSIONALS document.",13/01/2021,Not held
FOI 20/568,20/12/2020,Request for Information (attached for your reference) ADR follow up questionnaires for Deferasirox RMP from MHRA.  Request for Information (As per CMDh list attached for your reference) ADR follow up questionnaires for Lacosamide RMP from MHRA. ,21/01/2021,Disclosed in full
FOI 20/569,11/12/2020,Under the freedom of information act please can you provide me with all the details and information you hold  that was used to determine how  the Pfizer covid 19 vaccine was safe and effective to be used and granted a licence to be used in an emergency.if this was decided by a vote please provide the names who voted and how  they voted .many thanks d.japes,04/01/2021,Disclosed in part
FOI 20/570,21/12/2020,"Do you currently have any AI enabled chatbots engaging with Citizens directly? If not, do you intend to introduce this in the next 12 months? If you are looking to introduce AI enabled chatbots in the next 12 months, then please advise us on who is best to contact regarding this. (Name, Job Title and Email address) ",08/01/2021,Disclosed in full
FOI 20/571,03/12/2020,"I understand why we have had to rush the Covid vaccines through testing as quickly as possible, but how can we be certain that the vaccine isn’t going to cause some much greater issue for recipients?  All things come with some level of risk, and it is inevitable that we will find a small proportion of people suffer adverse side-effects, possibly catastrophic side-effects. But how can we be certain that we aren’t inadvertently causing some adverse response in the majority? ",23/12/2020,Disclosed in full
FOI 20/572,23/12/2020,"Could you forward to me statistic details or reaction and mortality rates die to the vaxines being used to inoculate against covid19 .  1 - all reactions within 7 days of 1st injection 

2 - all reactions within 7 days of the 2nd injection 

3 - all mortalities reported within 7 days or the 1st injection .

4 - all motalities reported within 7 days of the 2nd injection 

5 - the number of people vaxinated with the 1st injection 

6 - the number of people vaxinated with the 2nd injection",26/01/2021,Not held
FOI 20/573,22/12/2020,"Can you please release the true accuracy of the PCR test for detecting Covid-19 (not including other strains of coronavirus) just solely Covid-19.

How accurate is test in determining whether or not the people who've been tested have had Covid-19?",08/01/2021,Not held
FOI 20/574,17/12/2020,"Why is this potential for serious harm not listed in your leaflet as a possible side effect? 

2. The mRNA nano-particles (active ingredients) are coated with PEG. The development of auto-antibodies to polyethylene glycol (PEG) will not only make the vaccine less effective but may cause allergic reactions with deadly adverse events.  

Why is this potential for serious harm not listed in your leaflet as a possible side effect? What scientific evidence does MHRA have that deems PEG safe for injection which is not the same as it being eaten?

3. The vaccines also contain mNeonGreen, an ingredient not listed in your leaflet. This has bio-luminescent properties. 

Why is this ingredient, taken from marine invertebrates, being used in the vaccines? 

4. Why does your leaflet not make it clear that the vaccine will not prevent recipients from being infected with SARS CoV-2 thus becoming infectious? 

5. The American NIH published a list of potential ADRs that includes Guillain Barre Syndrome, Transverse Myelitis, Encephalitis, Stroke, Arthritis and even Death among other conditions. 

Does the MHRA have evidence that such side effects will not occur? If not, why do these do not appear in your leaflet? 

6. Is the MHRA not aware that the approach of vaccinating people with experimental mRNA vaccines violates the precautionary principle, which requires that a medical intervention be proven safe before being released. How can the omission of extended trials deem them safe?  

7. If it is known that the product may cause harm, and especially death, in advance and is still released without the public being fully informed of these risks, does this not constitute an egregious violation of the medical ethical principles established through the Nuremberg Code in order to prevent human rights violations? 

8. if recipients are vaccinated without knowing the potential side effects, how can they give their “informed consent”?

9. It s understood that the Pfizer/BioNTech trial did not include anyone over the age of 55 and anyone with co-morbidities. 

Why is it therefore deemed appropriate to vaccinate the over 80s first; most of whom will have at least one co-morbidity when the risks to them are unknown? (If this is a political question it may be more appropriate to ask the DHSC rather than the MHRA).",07/01/2020,Disclosed in full
FOI 20/575,18/12/2020,"In light of international studies and research that indicate positive outcomes, the American Medical Association has rescinded its statement that doctors should be prevented from prescribing Hydroxychloroquine (HCQ). The AMA’s new position is that doctors must be permitted to use their judgment about how to treat Covid patients. 

In light of international studies and research, when will the MHRA review their policy and permit UK doctors to use their judgment about how to treat Covid patients? ",08/01/2021,Disclosed in full
FOI 20/576,23/12/2020,"Also please provide me a certified list of all ingredients of the Pfizer  vaccine.
Please privude me with the contact details of the organisation that has tested the accuracy  of the PCR test.
Please provide  me with the Swine flu  vaccine ingredients and if any damages were paid out by the Uk government  and if so  how much.
Please provide me with the scientific Isolation document of the Swine flu.
Please advise when the Swine flu vaccine was removed from the market and why.",04/01/2021,Disclosed in full
FOI 20/577,29/12/2020, Inspection reports for GxP (GDP and GVP),26/01/2021,Disclosed in part
FOI 20/578,18/12/2020,"Under the freedom of information Act 2000, please provide me with the following 1) Nasal Flu Vaccine Efficacy rates for the past 5 years 2)  Data on yellow card reporting for the nasal flu vaccine for the past 5 years",24/12/2020,Disclosed in full
FOI 20/579,19/12/2020,"Jeremy Hunt, then Health Secretary, ordered 2015, an investigation into the care and death of Elizabeth Dixon. Has the MHRA been alerted to the medication overdose and  circumstances and the death of the baby, either by the Chair of the investigation,  anyone from the investigation team, the NMC or by Hampshire Constabulary who were also fully aware of this during their own investigation and by 2006 at the latest, or by any other organisation or department?",21/01/2021,Disclosed in full
FOI 20/580,29/12/2020,"Please can you tell me from the stage 3 results of all Covid vaccines that you have looked at how many of the participants had relapse and remitting MS? If any did, are you able to confirm if the participants were on DMD's to suppress the immune system?Did the injection bring on her relapse or was she given a placebo and it was simply a coincidence? Have there been any significant studies into other medications taken by patients and the effects they have on the vaccine or vice versa?  If the medication I am on is so powerful that it stops my relapses, I want to know how it will react with the vaccine's DNA sequencing, which as I understand it is in order to stimulate the immune system, when my immune system is currently dampened down to stop it overreacting and attacking my brain and spinal cord?",13/01/2021,Disclosed in full
FOI 20/581,15/01/2020,Please provide all data you hold relating to any Covid vaccine approved or yet to be approved for any use including any reported or observed adverse effect or side-effect following its administration to human or animal.,31/01/2021,Disclosed in full
FOI 20/582,30/12/2020,How many people in the UK have died of Covid 19 without any underlying Illnesses? Only Covid 19 deaths please,04/01/2021,Not held
FOI 20/583,21/12/2020,"I should be most grateful if we could obtain the following documents for the medicinal product ""  Fentanyl 50 microgram/ml Injection   "", PL 01502/0062 , MAH: hameln pharma ltd.  Clinical Overview, Preclinical Overview, Risk Management Plan, Public Assessment Report.",05/01/2021,Not released
,,,,
